pregunta,opciones,respuesta,dificultad,universidad,tema,imagen
¿Cuál es el sinónimo de avatar?,A) Cambio ; B) Vicisitud ; C) Transformación ; D) Metamorfosis,A,0.5,UNAM / IPN,General,
¿Cuál es el antónimo de converger?,A) Diverger ; B) Converger ; C) Emerger ; D) Surgir,A,0.5,UNAM / IPN,General,
"¿Cuál es la forma del discurso del siguiente texto: “Todo mundo tiene que saber perdonar, quien dice perdonar, pero no olvida, no le crean, porque perdonar es olvidar”?",A) Argumentación ; B) Descripción ; C) Narración ; D) Exposición,A,0.5,UNAM / IPN,General,
¿Cuál es el período en que el gobierno de Miguel Alemán se vendió petróleo y acero?,A) Milagro mexicano ; B) Porfiriato ; C) Revolución mexicana ; D) Guerra de Independencia,A,0.5,UNAM / IPN,Historia de México,
¿Cuál es la causa interna que favoreció la independencia de México?,A) Criollos subestimados y subyugados ; B) Españoles opresores ; C) Indígenas rebeldes ; D) Africanos esclavos,A,0.5,UNAM / IPN,Historia de México,
¿Cuál es la causa por la cual Francia invadió por segunda ocasión a México?,A) Suspensión del pago de la deuda ; B) Apoyo a los conservadores ; C) Interés en el petróleo ; D) Protección a los ciudadanos franceses,A,0.5,UNAM / IPN,Historia de México,
¿Cuál es el propósito del imperialismo a finales del siglo XIX?,A) Expansión territorial de las potencias ; B) Protección a los ciudadanos ; C) Fomento al comercio ; D) Ayuda humanitaria,A,0.5,UNAM / IPN,Historia de México,
¿Cuáles son las regiones del mundo que reciben mayor número de migrantes?,A) Norteamérica y Europa ; B) Sudamérica y África ; C) Asia y Oceanía ; D) América Central y del Sur,A,0.5,UNAM / IPN,Geografía,
¿Cuál es la principal fuente de abastecimiento de agua dulce para los continentes?,A) Precipitación ; B) Ríos ; C) Lagos ; D) Glaciares,A,0.5,UNAM / IPN,Geografía,
"¿Cuál es el tipo de ficha que pertenecen los siguientes datos: año 1993, n°3, páginas 22-24, “título del artículo”, autor, en vuelta, (nombre de la revista)?",A) Hemerográfica ; B) Bibliográfica ; C) Biográfica ; D) Autobiográfica,A,0.5,UNAM / IPN,Español,
¿Cuál es el sinónimo de la palabra subrayada en el contexto del siguiente enunciado: “Siempre ha causado conflicto que los hombres en su más profundo dolor”?,A) Intenso ; B) Fuerte ; C) Profundo ; D) Grave,A,0.5,UNAM / IPN,Español,
"¿Cuáles son los compuestos que favorecen una reacción, son estructurales y favorecen la función enzimática?",A) Proteínas ; B) Carbohidratos ; C) Lípidos ; D) Ácidos nucleicos,A,0.5,UNAM / IPN,Química,
¿Cuál es la causa de un aumento en el CO2 en la atmósfera?,A) Quema de combustibles fósiles ; B) Deforestación ; C) Erupciones volcánicas ; D) Cambios climáticos,A,0.5,UNAM / IPN,Química,
¿Cuál es un ácido fuerte?,A) H2SO4 ; B) HCl ; C) HNO3 ; D) H3PO4,A,0.5,UNAM / IPN,Química,
¿Cuál es la lluvia ácida?,A) H2SO4 + CaCO3 → CaSO4 + CO2 + H2O ; B) HCl + NaOH → NaCl + H2O ; C) HNO3 + Ca(OH)2 → Ca(NO3)2 + H2O ; D) H3PO4 + Ca(OH)2 → Ca3(PO4)2 + H2O,A,0.5,UNAM / IPN,Química,
¿Cuál es la masa molar del CH3COOH?,A) 60 g/mol ; B) 50 g/mol ; C) 40 g/mol ; D) 30 g/mol,A,0.5,UNAM / IPN,Química,
¿Cuál es el proceso por el cual se van regenerando las células que se desgastan?,A) Mitosis ; B) Meiosis ; C) Fotosíntesis ; D) Respiración celular,A,0.5,UNAM / IPN,Biología,
¿Cuál es el proceso de fosilización?,A) Impresión ; B) Inclusión ; C) Petrificación ; D) Diagénesis,A,0.5,UNAM / IPN,Biología,
¿Cuál es el ácido nucleico que se encarga de llevar los aminoácidos a los ribosomas?,A) ARNt ; B) ARNm ; C) ARNr ; D) ADN,A,0.5,UNAM / IPN,Biología,
¿Cuál es el postulado de Lamarck?,A) Mutaciones neutras ; B) Selección natural ; C) Herencia de características adquiridas ; D) Evolución por saltos,C,0.5,UNAM / IPN,Biología,
¿Cuál es la función de la clorofila en la fotosíntesis?,A) Captar fotones ; B) Sintetizar glucosa ; C) Liberar oxígeno ; D) Absorber dióxido de carbono,A,0.5,UNAM / IPN,Biología,
¿Cuál es el proceso de esporulación?,A) Reproducción ; B) Fotosíntesis ; C) Respiración celular ; D) Fermentación,A,0.5,UNAM / IPN,Biología,
¿Cuál es la característica de la tragedia?,A) Forma dramática en donde el protagonista se rebela ante su destino para finalmente morir o lastimarse física o moralmente y se restablece el orden ; B) Forma dramática en donde el protagonista se rebela ante su destino para finalmente triunfar ; C) Forma dramática en donde el protagonista se somete a su destino ; D) Forma dramática en donde el protagonista es un personaje secundario,A,0.5,UNAM / IPN,Literatura,
¿A qué corriente literaria pertenece el escritor francés Gustav Flaubert?,A) Realismo ; B) Romanticismo ; C) Naturalismo ; D) Simbolismo,A,0.5,UNAM / IPN,Literatura,
"¿Cuál es el género literario al que pertenece el siguiente fragmento: “Buenos días, aurora (grita) Buenos días, ni un alma (grita)”?",A) Dramático ; B) Lírico ; C) Narrativo ; D) Expositivo,A,0.5,UNAM / IPN,Literatura,
Algunos de los puntos que destacan de la constitución de Apatzingán de 1814 son:,A) 1 2 3 6 ; B) 1 4 5 7 ; C) 2 5 6 7 ; D) 3 4 5 6,A,0.5,VARIAS,Historia de México,
Primera forma de gobierno que se estableció en el México independiente,A) dictadura ; B) república federal ; C) monarquía ; D) imperio,D,0.5,VARIAS,Historia de México,
"Por los gobiernos surgidos de la revolución de Ayutla, se establecieron los:",A) conceptos conservadores de gobierno ; B) principios de la teocracia libera ; C) conceptos del centralismo ; D) principios liberales en el gobierno,D,0.5,VARIAS,Historia de México,
Durante el Porfiriato la ________ fue una de las obras más relevantes.,A) Creación de universidad obrera ; B) Aplicación de la educación socialista ; C) Aplicación de la educación laica ; D) Creación de la universidad nacional,C,0.5,VARIAS,Historia de México,
Relaciona las características con las diferentes etapas de la revolución mexicana,A) 1d 2a 3b 4c ; B) 1a 2b 3c 4d ; C) 1b 2c 3a 4d ; D) 1d 2c 3b 4a,B,0.5,VARIAS,Historia de México,
El período de 1928 a 1934 con el que Plutarco Elías Calles encontró la política mexicana manipulando a los presidentes en turno se le denomina,A) decena trágica ; B) plan sexenal ; C) callismo ; D) maximato,D,0.5,VARIAS,Historia de México,
Al general Lázaro Cárdenas se le considera el creador del estado mexicano porque,A) Crea el PRM con los sectores campesinos y militar ; B) Los partidos de la derecha y religiosos ; C) Propuso las bases para la política internacional de México ; D) limita la participación política de las órdenes religiosas,C,0.5,VARIAS,Historia de México,
"El nacionalismo exacerbado del imperialismo, el armamentismo y las alianzas con fines militares fueron causa de:",A) guerra de los 7 días ; B) segunda guerra mundial ; C) guerra fría ; D) crisis de los misiles,B,0.5,VARIAS,Historia de México,
Durante la guerra fría el mundo se polarizó formando 2 bloques. En la lista de características que se anotan a continuación elige cuáles corresponden a cada uno,A) Iabc IIade ; B) Iabcd IIce ; C) Ide IIabc ; D) Ibc IIade,D,0.5,VARIAS,Historia de México,
"La construcción del muro de Berlin, la crisis de los misiles y la carrera armamentista, fueron acontecimientos que se desarrollaron durante el periodo conocido como:",A) reunificación alemana ; B) globalización económica ; C) guerra fría ; D) desintegración de la unión soviética,C,0.5,VARIAS,Historia de México,
Elige las características económicas y políticas del mundo globalizado,A) 1 2 4 ; B) 2 3 5 ; C) 3 4 6 ; D) 4 5 6,B,0.5,VARIAS,Historia de México,
Entre las causas que provocaron la caída del bloque socialistas se encuentran,A) la liberación de la economia y la corrupción del estado socialista ; B) las reformas de Gorbachov y el estancamiento de la producción ; C) la burocratización excesiva y la búsqueda de la identidad nacional ; D) las reformas de la sociedad y la aparición del conservadurismo,B,0.5,VARIAS,Historia de México,
El proceso de la independencia de la producción y la comercialización en la economía mundial se conoce como,A) imperialismo ; B) globalización ; C) neoliberalismo ; D) inflación,B,0.5,VARIAS,Historia de México,
De los siguientes acontecimientos cuáles hacen referencia al gobierno de Adolfo López Mateos,A) 1e 2d 3c 4b 5a ; B) 1a 2b 3c 4d 5e ; C) 1d 2c 3b 4a 5e ; D) 1b 2c 3a 4c 5d,B,0.5,VARIAS,Historia de México,
"El crecimiento económico logrado por el país desde el final de la primera guerra mundial hasta la década de los 60, se conoció como:",A) desarrollo estabilizador ; B) prosperidad económica ; C) milagro mexicano ; D) desarrollo industrial,C,0.5,VARIAS,Historia de México,
Una característica fundamental del desarrollo compartido fue,A) aumento de la participación del estado en el proceso económico ; B) apertura de la industria petrolera a la inversión privada ; C) la privatización del sistema bancario ; D) el descenso de los salarios mínimos,A,0.5,VARIAS,Historia de México,
"En el ámbito político, la ilustración influyó en el establecimiento de un sistema denominado",A) monarquía absoluta ; B) filosofía ilustrada ; C) sistema feudal ; D) despotismo ilustrado,D,0.5,VARIAS,Historia de México,
"Las revoluciones europeas en 1848, se caracterizaron porque:",A) los obreros participaron en defensa de sus derechos ; B) las mujeres obtuvieron su derecho al voto ; C) los obreros estipularon sus derechos en una carta ; D) las mujeres se incorporaron a las luchas sociales,C,0.5,VARIAS,Historia de México,
Relaciona las columnas de acontecimientos de la primera guerra mundial,A) 1e 2d 3c 4b 5a ; B) 1a 2b 3c 4d 5e ; C) 1d 2c 3b 4a 5e ; D) 1b 2c 3a 4c 5d,B,0.5,VARIAS,Historia de México,
Cuáles de las siguientes características corresponden a las crisis económica de 1929,A) 1 2 3 ; B) 1 3 4 ; C) 2 4 5 ; D) 3 4 5,B,0.5,VARIAS,Historia de México,
Selecciona la opción que contiene las características que corresponden a la Tragedia,A) II y IV ; B) I y II ; C) I y III ; D) III y IV,A,0.5,VARIAS,Literatura,
Del siguiente verso,A) Una rima asonante ; B) Una rima consonante ; C) Una sílaba tónica ; D) Un ritmo irregular,B,0.5,VARIAS,Literatura,
Movimiento armónico que se encuentra en un poema,A) Ritmo ; B) Rima ; C) Aliteración ; D) Verso,A,0.5,VARIAS,Literatura,
El siguiente texto pertenece al género:,A) Gramático ; B) Epico ; C) Lírico ; D) Didáctico,C,0.5,VARIAS,Literatura,
"Corriente literaria que surgió durante la segunda mitad del siglo XIX cuyos autores retratan el mundo que los rodea. Se interesen por el presente, los fenómenos sociales y se apoyan en el método científico",A) Naturalismo ; B) Romanticismo ; C) Neoclasicismo ; D) Surrealismo,A,0.5,VARIAS,Literatura,
Son representantes de la literatura realista,"A) Benito Pérez, Henry Ipsen, Honore de Balzac ; B) Gustave Fluver, Thomas Mann ; C) Alejandro Dumas, Leopoldo Alas, Emily Pronti ; D) Víctor Hugo, Edgar Alan Poe, Mery Schiller",A,0.5,VARIAS,Literatura,
A la narración en prosa relativamente breve se le denomina:,A) Novela ; B) Poesía ; C) Drama ; D) Cuento,D,0.5,VARIAS,Literatura,
En un fenómeno ondulatorio el número de ciclos por unidad de tiempo recibe el nombre de:,A) Amplitud ; B) Longitud de onda ; C) Frecuencia ; D) Periodo,C,0.5,VARIAS,Física,
"La potencia que produce un horno de microondas es de 1200 Watts si la diferencia de potencial es de 120 V, ¿Cuánta corriente circula?",A) 0.010 A ; B) 0.100 A ; C) 1 A ; D) 10 A,D,0.5,VARIAS,Física,
Se desea construir un barómetro con un líquido que tiene la mitad de la densidad del mercurio ¿Cuál es la altura que alcanzará la columna del líquido si la densidad del mercurio es de 13600Kg/m^3 y la gravedad es de 9.81 m/s^2. El incremento en la presión es de 1.03 × 10^5 Pa?,A) 0.38m ; B) 0.78m ; C) 1.52m ; D) 15.20m,C,0.8,VARIAS,Física,
Si la rapidez de la luz en el vacío es de 3 × 10^8 m/s y el indice de refracción de la glicerina es de 1.473 ¿Cuál será la velocidad a la que viaja la luz en la glicerina?,A) 2.03 × 10^8 m/s ; B) 2.26 × 10^9 m/s ; C) 4.42 × 10^8 m/s ; D) 4.91 × 10^9 m/s,A,0.7,VARIAS,Física,
Cuál de las siguientes reacciones es la más adecuada para calcular la edad de los fósiles,A) Midiendo la cantidad de C14 que permanece en un fósil ; B) Comparando el número de anillos transversales que presenta el fósil ; C) Comparando la estructura del fósil con el de las rocas de diferente época ; D) Observando los cambios evolutivos con respecto a sus descendientes.,A,0.6,VARIAS,Biología,
Que elemento tiene la siguiente estructura atómica 1s^2 2s^2 2ps^6 3s^2,A) Carboneo ; B) Nitrógeno ; C) Magnesio ; D) Oxigeno,A,0.4,VARIAS,Química,
Cuál de los siguientes compuestos reacciona con el agua para formar un ácido,A) 2y 4 ; B) 1 y 3 ; C) 4y 5 ; D) 3 y 5,D,0.6,VARIAS,Química,
Cuáles son los grupos funcionales presentes en un aminoácido,A) Amina y ácido carboxílico ; B) Eter y ester ; C) Cetona y aldehído ; D) Amida y éter,A,0.7,VARIAS,Química,
Cuál de los siguientes compuestos es un lípido,A) Glucosa ; B) Alanina ; C) Albúmina ; D) Colesterol,D,0.5,VARIAS,Biología,
Fue el personaje que dijo que todos los seres vivos están formados por células,A) Charles Darwin ; B) Jean Lamarck ; C) Luis Pasteur ; D) Theodor Schwann,D,0.5,UNAM,Biología,
"La unidad básica, estructural y funcional de los seres vivos es:",A) La molécula ; B) La célula ; C) El átomo ; D) El tejido,B,0.5,UNAM,Biología,
Las células heterótrofas se caracterizan por:,A) Carecer de cloroplastos ; B) Realizar la glucolisis en el mitocondria ; C) Metabolizar carbohidratos en el aparato de Golgi ; D) Degradar en el PC,A,0.5,UNAM,Biología,
Las células vegetales se distinguen de las células animales porque poseen:,A) Núcleo ; B) Pared celular ; C) Membrana plasmática ; D) Mitocondrias,B,0.5,UNAM,Biología,
Estructura propia de la célula vegetal formada de celulosa:,A) Pared celular ; B) Exoesqueleto ; C) Membrana plasmáticas ; D) Membrana celular,A,0.5,UNAM,Biología,
¿Cuáles de los siguientes organelos se explican a través de la teoría de la endosimbiosis?,A) Mitocondria y cloroplasto ; B) Centriolo y peroxisoma ; C) Nucléolo y ribosoma ; D) Núcleo y lisosoma,A,0.5,UNAM,Biología,
¿Dónde se realiza el proceso de respiración aeróbica en células eucariòticas?,A) Mitocondrias ; B) Cloroplastos ; C) Vacuolas ; D) Lisosomas,A,0.5,UNAM,Biología,
El producto final de la glucólisis es:,"A) 2 moléculas de piruvato, 1 de ATP y de NADH ; B) 2 moléculas de piruvato, 2 de ATP y una de NADH ; C) 2 moléculas de piruvato, 1 de ATP y 2 de NADH ; D) 2 moléculas de piruvato, 4 de ATP y 2 de NADH",B,0.5,UNAM,Biología,
Es un organismo procarionte:,A) Alga ; B) Bacteria ; C) Virus ; D) Moho,B,0.5,UNAM,Biología,
Organelo celular cuya función es la respiración celular y la obtención de energia:,A) Mitocondria ; B) Lisosomas ; C) Ribosomas ; D) Aparato de Golgi,A,0.5,UNAM,Biología,
Células sin envoltura nuclear ni estructuras membranosas internas:,A) Cancerosas ; B) Eucariontes ; C) Procariontes ; D) Hepáticas,C,0.5,UNAM,Biología,
Las bacterias anaeróbicas y los mioplasmas son ejemplos de células:,A) Eucariontes ; B) Procariontes ; C) Vegetales ; D) Animales,B,0.5,UNAM,Biología,
¿Cuál es el significado de la palabra eucarionte?,A) Antes del núcleo ; B) Sin núcleo verdadero ; C) Con núcleo verdadero ; D) Después del núcleo,C,0.5,UNAM,Biología,
El _______ es la principal fuente de energía metabólica para los seres vivos.,A) ADN ; B) GTP ; C) ATP ; D) ARN,C,0.5,UNAM,Biología,
Cuando se hidroliza el ATP se forma:,A) ADP ; B) ADP ; C) GTP ; D) UTP,A,0.5,UNAM,Biología,
Las enzimas son _______ que aceleran las reacciones químicas reduciendo la energía de activación.,A) Cofactores ; B) Biocatalizadores ; C) Promotores ; D) Reguladores,B,0.5,UNAM,Biología,
El proceso fotosintético que realizan los organismos es importante para los seres vivos porque produce moléculas para la vida como:,A) Glucosa y bióxido de carbono ; B) Oxígeno y bióxido de carbono ; C) Glucosa y oxígeno ; D) Oxígeno y fósforo,C,0.5,UNAM,Biología,
Energía utilizada para la realización de la fase oscura de la fotosíntesis:,A) Cinética ; B) Dinámica ; C) Química ; D) Bioquímica,C,0.5,UNAM,Biología,
La síntesis de proteínas y la fotosíntesis son:,A) Procesos ; B) Anabólicos ; C) Catabólicos ; D) Sintéticos,B,0.5,UNAM,Biología,
"En la fotosíntesis se rompe, una molécula de H2O para producir inicialmente:",A) Glucosa ; B) Monóxido de carbono ; C) Oxígeno ; D) Dióxido de carbono,C,0.5,UNAM,Biología,
Durante este proceso los seres vivos productores obtienen dióxido de carbono luz solar que es transformado a glucosa a este proceso se le,A) Fotosíntesis ; B) Mutación ; C) Evolución ; D) Mitosis,A,0.5,UNAM,Biología,
"La regulación de la función de un tejido por acción de otro, se lleva a cabo mediante:",A) Nutrientes ; B) Hormonas ; C) Carbohidratos ; D) Oxígeno,B,0.5,UNAM,Biología,
"Si asumimos que una célula eucariota tiene abundante glucosa y oxígeno, pero necesita ATP, el gradiente de electrones es esta célula será generado por ______ y usado principalmente por ______",A) Transportadores de electrones - ATP sintetasa ; B) Glucólisis - producción de agua ; C) Fermentación - NAD reducido ; D) Difusión de protones - ATP sintetasa,D,0.5,UNAM,Biología,
Base nitrogenada que solo está presente en el ARN?,A) Uracilo ; B) Adenina ; C) Timina ; D) Guanina,A,0.5,UNAM,Biología,
La síntesis de RNA a partir del DNA se llama,A) Regulación ; B) Transferencia ; C) Transcripción ; D) Inversión,C,0.5,UNAM,Biología,
¿En cuál de los siguientes enunciados se utiliza la función de la lengua referencial?,"A) Frodo tomó el sobre de la repisa, le echó una mirada, pero no lo abrió. ; B) La reforma energética es la solución para que el país logre un crecimiento y desarrollo sostenido. ; C) Todo mundo sabe que un ovni se estrelló en el desierto de Nuevo México en 1947. ; D) Espartacus fue uno de los más grandes esclavos rebeldes que luchó contra el régimen esclavista de los tiempos de los romanos.",A,0.5,VARIAS,General,
¿En cuál de los siguientes enunciados no se utiliza la función de la lengua poética?,"A) Que ser valiente no salga tan caro, que ser cobarde no valga la pena. ; B) El amor es el silencio más fino, el más tembloroso, el más insoportable. ; C) La tromba del viernes hizo que a la gente en varias calles le llegara el agua al cuello. ; D) Aquí vivimos, en las calles se cruzan nuestros olores, de sudor y pachuli, de ladrillo nuevo y gas subterráneo.",C,0.5,VARIAS,General,
¿En cuál de los siguientes enunciados no se utiliza la función de la lengua referencial?,"A) Se ha descubierto que el zumbido de las abejas protege a plantas y flores de ser deboradas. ; B) Las mujeres en los países pobres tienen 300 veces más probabilidades de morir en el parto. ; C) El dióxido de carbono de la atmósfera en exceso al disolverse en el agua la vuelve más ácida. ; D) Según el gobierno federal: “lo mejor que le pudo pasar al país es la devaluación del peso frente al dólar, ya que los turistas extranjeros tuvieron mayor poder adquisitivo”.",D,0.5,VARIAS,General,
¿En cuál de los siguientes enunciados se utiliza la función de la lengua apelativa?,"A) La caída del espectacular abolló el automóvil de Ricardo. ; B) Las aves firmaban el cielo a su paso por las montañas. ; C) Creemos que sólo el estudio adecuado de la guía te dará el lugar en la Universidad. ; D) En consecuencia, no hubo acuerdo entre las partes con respecto a la ley.",C,0.5,VARIAS,General,
¿En cuál de los siguientes enunciados no se utiliza la función de la lengua apelativa?,"A) Sólo se necesita tener valor para arrojarse del Bungie. ; B) Nuevamente una pequeña lluvia hace presa a la población del oriente de la capital. ; C) Cada vez que me siento crecer en comprensión y en humildad, me siento crecer en la poesía. ; D) El mejor teléfono celular es el Samsung S IV, según una encuesta telefónica.",D,0.5,VARIAS,General,
¿En cuál de los siguientes enunciados se utiliza la función de la lengua poética?,"A) Una metáfora es el recurso más utilizado en la poesía. ; B) El poema es el momento en que se capta con la sangre el pensamiento de la vida. ; C) La rima de un poema se localiza en las terminaciones de las palabras de cada verso. ; D) Allí estaba Ser Jaime Lannister, de cabellos tan brillantes como el oro batido, y Sandor Clegane, con el espantoso rostro quemado.",D,0.5,VARIAS,General,
En el texto se puede afirmar que predomina la función y la forma del discurso:,A) poética y narrativa. ; B) poética y descriptiva. ; C) referencial y narrativa. ; D) apelativa y descriptiva.,B,0.5,VARIAS,General,
e adquiere carga eléctrica por medio de un,A) contacto ; B) cohesión ; C) inducción ; D) frotamiento,A,0.5,VARIAS,General,
"La unidad de la carga eléctrica en el SI, es:",A) watt ; B) joule ; C) ohm ; D) coulomb,D,0.5,VARIAS,General,
La teoría del flujo único nos indica que:,"A) al cátodo llegan las cargas positivas ; B) cargas iguales se repelen y opuestas se atraen ; C) sólo los electrones pueden poseer carga eléctrica ; D) existen tres tipos de carga (neutro, positivo y negativo)",B,0.5,VARIAS,General,
Un rayo es un efecto de:,A) el magnetismo terrestre ; B) la atracción de cargas contrarias ; C) la repulsión de cargas negativas ; D) el choque de fuerzas eléctricas en las nubes,D,0.5,VARIAS,General,
"En una fiesta se colocaron globos sobre la pared, los cuales se “pegaron” por medio del frotamiento del globo en el cabello, ¿qué tipo de carga obtiene el globo?",A) Neutra ; B) Bipolar ; C) Positiva ; D) Negativa,D,0.5,VARIAS,General,
"Cuando por un material el paso de las líneas magnéticas es igual que por el vacío, se dice que el material es:",A) conductor ; B) condensador ; C) diamagnético ; D) paramagnético,C,0.5,VARIAS,General,
Dentro de las características esenciales de un electroimán destaca:,A) necesitar un flujo eléctrico continuo ; B) utilizar forzosamente hierro en el centro ; C) ser más potente si tiene un mayor tamaño ; D) estar sujeto a una corriente eléctrica negativa,B,0.5,VARIAS,General,
Ley que habla acerca de la inducción magnética que origina una fuerza electromotriz en un campo magnético,A) Oersted ; B) Coulomb ; C) Faraday y Henry ; D) Ampere – Maxwell,C,0.5,VARIAS,General,
La teoría electromagnética de la luz establece que ésta se propaga como:,A) dispersión de ondas viajeras electromagnéticas ; B) reflexión de las ondas oscilatorias y longitudinales ; C) refracción de ondas transversales electromagnéticas ; D) ondas electromagnéticas en campos transversales oscilatorios,D,0.5,VARIAS,General,
"De los siguientes rayos formados en las regiones del espectro electromagnético, ¿cuál se localiza por debajo de la luz visible y produce el bronceado en la piel?",A) Alfa ; B) Gamma ; C) Infrarrojo ; D) Ultravioleta,D,0.5,VARIAS,General,
Determinar la altura que alcanzará un manómetro que midió una presión de 18 Pa de un gas que tiene una densidad de 0.1 kg/m2,A) 0.05 m ; B) 0.18 m ; C) 0.36 m ; D) 1.01 m,B,0.5,VARIAS,General,
"El empuje es igual al peso del fluido desalojado, según el principio de:",A) Pascal ; B) Torricelli ; C) Arquímedes ; D) Gay-Lussac,C,0.5,VARIAS,General,
Una alberca cúbica de 5 m de profundidad está totalmente llena de agua. ¿Cuál es la presión en el fondo de la alberca debido solamente al agua?,A) 9.8 x 103 Pa ; B) 5.1 x 102 Pa ; C) 2.5 x 104 Pa ; D) 4.9 x 104 Pa,D,0.5,VARIAS,General,
"Si un átomo es excitado, el electrón puede pasar a un orbital de mayor energía y absorber energía; al regresar se emite esta energía absorbida. Es parte del postulado de la teoría del átomo de:",A) Bohr ; B) Rutherford ; C) Thompson ; D) Dalton,A,0.5,VARIAS,General,
"De las siguientes sustancias, ¿cuáles son compuestos?","A) Bronce, arena y cloro ; B) Diamante, vidrio y agua ; C) Gasolina, diesel y cobre ; D) Sal de mesa, azucar y vinagre",D,0.5,VARIAS,General,
La combustión de madera se considera un fenómeno químico porque:,A) existe una evaporación de los compuestos de la madera ; B) sus átomos se calientan y pasan a otros niveles de energía,B,0.5,VARIAS,General,
La cantidad de electrones en su estado basal es igual al:,A) número de protones del núcleo ; B) número de neutrones del núcleo ; C) la suma de neutrones y protones del núcleo ; D) la mitad de la suma de los neutrones y protones,A,0.5,VARIAS,General,
"El número cuántico principal (n) de un átomo, indica:",A) el tipo del orbital ; B) los niveles de energía ; C) la dirección de los electrones,B,0.5,VARIAS,General,
"Cuando un rayo de luz varía su trayectoria al pasar de un medio a otro, se dice que existe:",A) reflexión ; B) difracción ; C) refracción ; D) dispersión,C,0.5,VARIAS,General,
"Con base a las leyes básicas de la reflexión, el rayo incidente, el reflejado y la normal a la superficie:",A) son exactamente iguales ; B) son exactamente reversibles ; C) se dispersan en varias direcciones ; D) se encuentran en un mismo plano,D,0.5,VARIAS,General,
La rapidez de la luz en cierto vidrio es 1.91 x 108 m/s. ¿Cuál es el índice de refracción del vidrio?,A) 1.91 ; B) 3.00 ; C) 1.57 ; D) 0.64,C,0.5,VARIAS,General,
"Calcular la distancia focal a la que se encuentra un objeto, si su tamaño es de 6 m y la imagen es de 10 cm a una distancia de 9 m",A) 0.05 m ; B) 0.12 m ; C) 0.15 m ; D) 0.50 m,B,0.5,VARIAS,General,
¿Cuál de los siguientes enunciados es verdadero?,"A) Una imagen invertida siempre tendrá una amplificación positiva ; B) El ángulo de incidencia no es igual al ángulo de reflexión formado ; C) La trayectoria de un rayo refractado en la entrecara de dos medios, no es exactamente reversible ; D) Las imágenes formadas por espejos esféricos pueden ser de mayor, menor o de igual tamaños que los objetos",D,0.5,VARIAS,General,
"Al llevarse a cabo un experimento en un laboratorio, se observó que existió una _______________, debido a que se formaron dos elementos nuevos con núcleos más pequeños al original",A) fusión nuclear ; B) emisión de fotones ; C) fisión nuclear ; D) absorción de electrones,C,0.5,VARIAS,General,
